feature_file,scenario,todo_key,trace_key,status,tags
test/acceptance/features/web_ui_advanced_automation.feature,TAA-011 Analyze test patterns with machine learning,,,ready,@security-testing @compliance
test/acceptance/features/web_ui_advanced_automation.feature,TAA-012 Perform security and compliance testing,,,ready,
test/acceptance/features/safety.feature,SC-012 Watchdog policy is documented,,,pending,@pending @req-watchdog-docs @req-estop @hil
test/acceptance/features/safety.feature,SC-014 Emergency stop register behavior,,,ready,
test/acceptance/features/hmi_integration.feature,SC-010 HMI contract adherence (4xxxx convention),,,pending,@pending @req-hmi @hil @pending @req-hmi-addressing @hil
test/acceptance/features/hmi_integration.feature,SC-024 HMI addressing examples,,,ready,
test/acceptance/features/hil_modbus_communication.feature,Read System Status Registers,,,ready,@hil @modbus @hardware @hil @modbus @hardware
test/acceptance/features/hil_modbus_communication.feature,Write and Verify Control Register,,,ready,@hil @modbus @hardware
test/acceptance/features/hil_modbus_communication.feature,Communication Fault Detection,,,ready,@hil @modbus @hardware
test/acceptance/features/hil_modbus_communication.feature,Multiple register read operation,,,ready,@hil @modbus @hardware
test/acceptance/features/hil_modbus_communication.feature,Register write and immediate readback,,,ready,@hil @modbus @hardware
test/acceptance/features/hil_modbus_communication.feature,Invalid register access handling,,,ready,@hil @modbus @hardware
test/acceptance/features/hil_modbus_communication.feature,CRC error handling,,,ready,@hil @modbus @hardware
test/acceptance/features/hil_modbus_communication.feature,Communication timeout handling,,,ready,@hil @modbus @hardware
test/acceptance/features/hil_modbus_communication.feature,Sonicator control via MODBUS,,,ready,
test/acceptance/features/hil_configuration_validation.feature,AC9 - Hardware configuration validation against pin matrix,,,ready,@hil @configuration_validation @hil @ac9 @pin_matrix_validation @hil @ac9 @db9_connector_validation
test/acceptance/features/hil_configuration_validation.feature,DB9 connector mapping validation,,,ready,@hil @ac9 @signal_integrity_validation
test/acceptance/features/hil_configuration_validation.feature,Signal integrity and electrical validation,,,ready,@hil @ac9 @power_distribution_validation
test/acceptance/features/hil_configuration_validation.feature,Power distribution validation,,,ready,@hil @ac9 @test_capability_validation
test/acceptance/features/hil_configuration_validation.feature,Test capability validation against configuration,,,ready,@hil @ac9 @configuration_consistency
test/acceptance/features/hil_configuration_validation.feature,Configuration consistency validation,,,ready,@hil @ac9 @dynamic_configuration_validation
test/acceptance/features/hil_configuration_validation.feature,Dynamic configuration validation during operation,,,ready,@hil @ac9 @configuration_version_control
test/acceptance/features/hil_configuration_validation.feature,Configuration version control and tracking,,,ready,@hil @ac9 @automated_configuration_validation
test/acceptance/features/hil_configuration_validation.feature,Automated configuration validation in CI/CD,,,ready,
